Meter,Mean Daily frequency (2022)
v_19,91.41136618063929
v_84,81.36387667945355
v_260,121.00983649113111
v_261,134.55636741534158
v_287,92.5792339097978
v_472,70.27609382119675
v_595,114.15477935539884
v_685,80.89412559152724
v_819,0.0
v_835,100.81541084788532
v_984,82.82248531177596
v_1111,79.40240520666666
v_1203,78.16325168038253
v_1216,75.44499991437158
v_1320,78.05721196445353
v_1329,65.36144908600818
v_1550,63.3993983394809
v_1631,60.69183156170223
v_1676,94.73633771565572
v_1678,101.67743070179783
v_1988,55.031449880245866
v_2069,49.38147477448085
v_2111,56.51161345855191
v_2168,48.11379824945355
v_2209,56.351149125519136
