Meter,Mean Daily kWh (2024)
Toevoer toren 1,38.41961852861036
Afvoer toren 1,18.39509536784741
Afvoer toren 3,27.55040871934605
Toevoer toren 2,37.37874659400545
Afvoer toren 2,18.3133514986376
Toevoer toren 3,35.258855585831064
Afvoer toren 4,26.310626702997276
Toevoer toren 5,28.12534059945504
Afvoer toren 5,21.384196185286104
Toevoer toren 4,28.62125340599455
Toevoer toren 7,45.798365122615806
Toevoer toren 6,29.64850136239782
Afvoer toren 6,18.534059945504087
Afvoer toren 7,22.463215258855588
Afvoer toren 8,20.239782016348773
Toevoer toren 8,31.989100817438693
Toevoer bijgebouw,40.53950953678474
Afvoer bijgebouw,28.768392370572208
Afvoer vergadercentrum,15.773841961852861
Toevoer vergardercentrum,15.228882833787466
Afvoer 1 keuken,16.291553133514988
Toevoer auditorium,28.634877384196184
Afvoer auditorium,25.920980926430516
Toevoer keuken,45.310626702997276
Afvoer 2 keuken,15.39509536784741
